IntrusionsBndys_Delamerian,IntrusionsBndys_Esk,IntrusionsBndys_HunterBown,IntrusionsBndys_KanimblanTablelands,IntrusionsBndys_Tabberabberan,MetamorphicBoundaries_Benambran,MetamorphicBoundaries_Delamerian,MetamorphicBoundaries_Esk,MetamorphicBoundaries_HunterBowen,MetamorphicBoundaries_KanimblanTablelands,MetamorphicBoundaries_Olarian,MetamorphicBoundaries_Tabberabberan,MetamorphicContactIsograds_Delamerian,MetamorphicIsograds_Delamerian,MetamorphicIsograds_Esk,MetamorphicIsograds_HunterBowen,MetamorphicIsograds_KanimblanTablelands,MetamorphicIsograds_Olarian,MetamorphicIsograds_Tabberabberan,RockUnitBndyFaults_BlanchetownClay,RockUnitBndyFaults_BookpurnongFm,RockUnitBndyFaults_CalivilFormation,RockUnitBndyFaults_CIP,RockUnitBndyFaults_CSP,RockUnitBndyFaults_CUR,RockUnitBndyFaults_DLO,RockUnitBndyFaults_DuddoLimestone,RockUnitBndyFaults_EttrickFormation,RockUnitBndyFaults_GeeraClay,RockUnitBndyFaults_LAO,RockUnitBndyFaults_LoxtonSands,RockUnitBndyFaults_MurrayBasinQuaternaryCover,RockUnitBndyFaults_PMIP,RockUnitBndyFaults_PTB,RockUnitBndyFaults_RenmarkGroup,RockUnitBndyFaults_THO,RockUnitBndyFaults_WDB,RockUnitBndyFaults_WinnamboolFormation
7.09,1.67,1.63,0.14,0.05,0.53,2.07,0.69,0.43,0.31,8.79,0.53,8.03,9.33,2.15,1.51,0.12,9.3,0.93,7.53,7.4,4.43,0.2,0.0,7.06,5.19,8.14,8.2,6.97,0.04,6.61,4.35,0.09,0.02,4.44,5.02,3.86,7.63
8.77,0.03,0.36,0.42,3.0,1.65,0.77,0.69,0.0,0.69,10.2,1.65,9.54,10.75,0.01,0.34,0.87,10.55,3.11,9.62,9.64,6.79,0.21,0.08,9.52,6.68,10.31,10.39,9.09,1.65,8.69,6.7,1.39,0.63,6.78,4.91,5.51,9.87
4.49,1.26,3.67,1.08,0.27,0.26,2.42,3.1,2.58,0.26,5.47,0.26,5.07,6.04,1.19,3.77,1.06,5.61,0.26,5.41,6.5,3.96,1.1,0.01,5.47,2.75,6.57,6.62,5.85,0.54,5.31,3.74,0.33,1.96,3.75,0.06,0.84,6.44
3.37,2.16,3.62,0.89,0.2,0.23,1.33,3.55,2.6,1.93,4.95,0.02,4.22,5.5,2.1,4.07,1.39,5.46,0.19,4.23,4.34,1.42,0.63,0.01,4.45,1.33,4.95,5.04,3.74,0.02,3.33,1.34,1.06,1.35,1.41,2.22,1.07,4.57
2.36,1.94,4.56,1.21,0.03,0.27,0.28,4.49,3.61,2.98,3.91,0.0,3.18,4.45,1.88,5.11,2.25,4.41,0.06,3.21,3.57,0.8,1.01,0.01,3.88,0.28,4.11,4.19,2.92,0.0,2.5,0.74,1.61,1.44,0.83,1.64,0.27,3.81
2.77,4.3,5.93,1.23,0.07,1.22,0.13,5.61,4.53,1.22,4.55,0.88,3.74,4.91,4.25,5.92,1.46,5.03,0.06,2.46,2.34,0.35,0.32,0.0,2.04,1.9,3.09,3.14,1.98,0.07,1.65,0.0,0.66,0.08,0.35,3.82,0.07,2.56
8.13,0.24,0.04,1.14,2.95,0.79,1.74,0.25,0.09,0.25,9.25,0.79,8.72,9.81,0.24,0.06,1.17,9.48,2.94,8.95,9.4,6.49,0.11,0.04,9.25,6.11,9.98,10.01,8.78,0.78,8.37,6.42,0.99,0.11,6.48,3.29,4.26,9.64
3.46,4.92,6.13,1.54,0.07,0.72,0.14,5.55,4.27,0.72,5.21,0.27,4.37,5.52,4.87,5.94,0.77,5.68,0.03,2.82,2.69,0.07,0.83,0.0,2.17,2.6,3.47,3.5,2.45,0.02,1.97,0.0,1.31,0.03,0.06,4.52,0.27,2.91
6.97,0.63,0.82,0.7,1.81,0.11,1.47,0.11,0.31,1.11,8.11,0.11,7.57,8.68,0.62,0.79,0.68,8.37,1.8,7.78,8.24,5.33,0.02,0.02,8.11,4.95,8.82,8.84,7.62,0.11,7.2,5.27,0.25,0.11,5.32,2.35,3.17,8.48
8.12,0.02,0.07,0.53,2.62,1.19,0.75,1.19,0.27,1.26,9.46,1.19,8.85,10.02,0.02,0.21,0.6,9.79,2.72,8.97,9.14,6.24,0.0,0.01,9.11,6.04,9.78,9.86,8.57,1.19,8.16,6.16,1.01,1.05,6.23,4.0,4.67,9.38
6.61,1.77,1.74,0.02,0.26,0.97,2.02,0.97,0.03,0.02,8.3,0.11,7.54,8.84,2.06,1.54,0.0,8.81,0.66,7.11,6.98,4.05,0.08,0.16,6.69,4.7,7.72,7.78,6.54,0.02,6.17,3.97,0.09,0.06,4.07,4.55,3.49,7.21
6.67,4.1,4.02,0.14,0.0,0.47,3.0,3.06,1.05,0.47,8.47,0.0,7.67,8.93,4.53,3.89,0.13,8.98,0.03,6.41,6.28,3.12,0.15,0.04,5.7,5.12,7.05,7.08,6.0,0.0,5.5,3.1,0.59,0.6,3.37,6.34,2.88,6.49
2.66,1.45,4.26,1.59,0.17,0.63,0.62,4.15,3.38,2.79,4.07,0.08,3.39,4.62,1.39,4.79,2.37,4.51,0.14,3.5,4.02,1.3,0.53,0.0,4.07,0.66,4.54,4.53,3.37,0.01,2.93,1.25,1.12,1.81,1.33,1.38,0.51,4.26
6.72,3.88,3.79,0.24,0.0,0.37,3.17,2.84,0.84,0.37,8.52,0.02,7.72,8.99,4.32,3.66,0.01,9.03,0.02,6.52,6.39,3.27,0.33,0.01,5.84,5.13,7.17,7.2,6.1,0.0,5.64,3.25,0.52,0.39,3.45,6.23,2.94,6.61
0.05,5.82,9.29,5.04,0.44,0.5,0.14,9.21,8.32,0.5,1.17,0.5,0.06,1.21,5.76,9.77,5.25,1.57,0.78,0.24,0.06,0.5,3.99,0.02,1.17,0.05,0.41,0.32,0.15,0.77,0.5,0.02,1.03,0.19,0.5,3.48,0.06,0.46
3.34,2.6,3.85,0.45,0.21,0.32,1.25,3.76,2.76,1.9,5.01,0.0,4.25,5.55,2.54,4.14,1.11,5.52,0.21,4.19,4.1,1.24,0.2,0.01,4.12,1.42,4.75,4.83,3.53,0.02,3.13,1.14,1.3,1.43,1.22,2.66,1.06,4.33
4.96,3.57,3.48,0.09,0.01,0.11,2.63,2.86,1.83,0.76,6.72,0.18,5.94,7.25,3.61,3.26,0.77,7.24,0.05,5.25,5.12,2.16,0.24,0.01,4.8,3.21,5.86,5.92,4.71,0.0,4.35,2.08,0.58,1.2,2.18,4.28,1.6,5.35
