Gravmap2019-grid-ausdrape_ellips_dx,Gravmap2019-grid-ausdrape_ellips_dy,Gravmap2019-grid-ausdrape_geoid_dx,Gravmap2019-grid-ausdrape_geoid_dy,Gravmap2019-grid-dem_ellips_dx,Gravmap2019-grid-dem_ellips_dy,Gravmap2019-grid-dem_geoid_dx,Gravmap2019-grid-dem_geoid_dy
1.4076985,0.27406266,1.3919078,0.2986309,2.7828543,-0.25260037,2.7670634,-0.22803219
0.44658348,3.902231,0.4178151,3.903791,3.681895,7.434037,3.6531267,7.435597
1.1126876,0.2916993,1.079992,0.32337865,4.2992005,-1.1386749,4.266505,-1.1069956
3.7826693,3.1269596,3.7606943,3.1448965,1.4572293,1.1370244,1.4352542,1.1549615
1.8107601,0.30149096,1.7891865,0.3144517,2.112938,0.5224891,2.0913644,0.5354498
1.3734069,4.6310277,1.3456304,4.640955,3.6507266,5.1067443,3.6229496,5.116671
2.6536539,4.175626,2.6219091,4.198983,1.6461933,0.7078419,1.6144488,0.73119915
1.1018788,-0.40740302,1.0720184,-0.37548542,4.9434915,-1.2375151,4.9136314,-1.2055975
1.6725781,4.6352725,1.6400363,4.654185,2.8518689,1.396448,2.8193274,1.415361
0.11796109,3.7420535,0.08894305,3.7453592,3.9927247,6.0465746,3.9637067,6.0498805
1.2304358,-0.2054808,1.2152426,-0.17011711,1.1941013,-2.1216927,1.1789079,-2.0863285
2.4096413,3.2572691,2.3849564,3.2834203,1.9476622,0.9782656,1.9229771,1.0044167
4.1247354,1.5559168,4.0943723,1.5810113,0.3344599,-0.07234559,0.30409658,-0.047251157
4.5836196,1.3285816,4.5567303,1.3552685,0.8038243,-0.30880585,0.776935,-0.28211892
-2.335694,-0.14649549,-2.3327415,-0.10900029,-3.8977697,-2.1502502,-3.894817,-2.112755
2.0872765,0.28506532,2.0630784,0.29685906,2.0289295,0.76826155,2.0047312,0.7800553
2.4851036,0.8914213,2.4612014,0.9030018,1.6745001,1.0721978,1.650598,1.0837781
2.2395835,1.2809821,2.2086568,1.3093948,2.5780523,1.4207237,2.5471256,1.4491363
1.9667698,0.7506814,1.9426459,0.76229537,2.0238895,1.1499352,1.9997656,1.1615493
3.5125976,3.4180818,3.4786267,3.4358635,3.161959,-1.6141855,3.1279886,-1.5964037
2.9804988,1.9972686,2.9501357,2.0195804,4.6337466,0.089615054,4.6033835,0.11192705
0.39718655,2.085876,0.39405236,2.1094534,-1.1677554,3.1844382,-1.1708894,3.208016
2.093515,4.4293137,2.0517673,4.4433703,3.9542284,3.632731,3.9124806,3.6467876
0.6724116,4.2874,0.6452544,4.31458,1.6164162,1.0237291,1.589259,1.050909
-0.6238283,3.2435803,-0.6442125,3.2460487,-0.52008593,8.018466,-0.5404708,8.020934
2.7816978,4.057497,2.744192,4.0751214,3.1153352,3.1360643,3.0778291,3.1536887
-0.45733535,-0.7891461,-0.45163453,-0.75945115,-3.1930685,-3.0770595,-3.187368,-3.0473647
-1.4174378,4.4231205,-1.440465,4.438344,0.6458678,2.5914786,0.622841,2.6067019
-0.55486566,-0.7270746,-0.5485969,-0.69760054,-3.3659134,-3.1871707,-3.3596451,-3.1576967
1.8867775,4.583396,1.8571332,4.612831,1.0628421,0.5716879,1.0331976,0.6011222
-0.4005952,-1.3187047,-0.3951644,-1.2867509,-2.9828608,-2.2386556,-2.9774299,-2.2067018
1.0073811,4.474997,0.96279323,4.485032,12.1085,4.6330976,12.063911,4.643132
-1.4527506,3.90388,-1.4776229,3.9314096,2.886965,-0.27093634,2.8620925,-0.24340747
0.23055944,0.92764115,0.20790398,0.94785154,3.842825,1.0812815,3.8201697,1.1014922
1.7400126,1.503251,1.7093717,1.5293763,-0.24267165,0.22786361,-0.27331245,0.25398886
1.7082763,3.2382607,1.680251,3.2566388,2.5688524,2.2761042,2.540827,2.2944822
0.21761219,0.25593168,0.18906939,0.27775216,3.5898662,0.64313024,3.5613234,0.6649508
-2.0699108,-0.47690728,-2.0678852,-0.43914095,-3.8995373,-2.584689,-3.8975117,-2.5469222
-1.3240478,4.305339,-1.3459707,4.3176484,-0.51979554,4.842555,-0.5417189,4.854865
4.6490808,1.085926,4.621359,1.1127255,2.5772657,-0.8695167,2.5495431,-0.84271735
1.3715193,0.20443039,1.3494816,0.21705094,2.168157,-0.4168972,2.146119,-0.40427655
-3.751821,1.1612622,-3.750412,1.1850528,-3.7779438,0.3967274,-3.776535,0.42051792
2.574126,4.2335067,2.5443873,4.261353,1.2955327,-0.2668953,1.265794,-0.23904873
1.0418947,-0.622231,1.0319283,-0.5872625,-1.9194537,-1.6100563,-1.9294206,-1.5750878
-2.8207178,0.7774993,-2.8173397,0.81373453,-3.5078733,-2.14151,-3.5044956,-2.1052747
-0.3317802,1.7840023,-0.3294733,1.8095534,-3.0514545,2.617151,-3.0491476,2.642702
2.4724684,4.3086734,2.4431946,4.3382974,0.90642595,-0.2951428,0.8771522,-0.26551914
-1.3068898,4.568586,-1.331639,4.587694,2.2464125,0.9787289,2.221663,0.9978375
2.5917032,1.8624499,2.5613177,1.8845625,4.2978234,0.41326004,4.2674384,0.43537277
0.979053,4.4382305,0.9524209,4.442548,2.7160664,7.869219,2.6894343,7.8735356
-1.7331973,4.4263115,-1.7567794,4.4459443,2.3652842,0.46165845,2.3417027,0.4812917
2.9466598,2.9699004,2.9154432,2.993876,0.01775188,-0.017985037,-0.013464574,0.0059906906
-0.7678355,-1.7041488,-0.76553357,-1.6673288,-3.8103733,-1.5859265,-3.8080714,-1.5491067
2.5072892,4.0576553,2.4816225,4.0725303,2.0799558,2.3451562,2.0542889,2.3600304
3.5334616,3.375839,3.508272,3.3937967,2.9782314,-1.1154226,2.9530418,-1.0974648
3.0600061,3.8929825,3.0342038,3.9166644,1.7914407,-0.034097534,1.7656384,-0.010415564
1.5930431,4.627728,1.5623727,4.640754,4.266684,4.1024733,4.2360134,4.1155005
2.8781493,-0.70250475,2.8608491,-0.687922,-0.6588725,0.5400443,-0.67617226,0.55462706
2.3780146,2.144469,2.3543766,2.1662214,-0.13523068,0.7878918,-0.15886876,0.8096443
1.7578536,4.6331635,1.7281091,4.6611896,1.648212,0.6451201,1.6184675,0.67314637
1.8660669,4.289733,1.8412102,4.3157053,1.1537331,1.0172539,1.1288762,1.0432259
1.0297573,1.7067646,1.0235196,1.7279074,-0.3179578,2.1056015,-0.3241951,2.1267447
1.9045596,4.4648876,1.8587214,4.4762497,7.1395407,2.8246017,7.0937023,2.835964
-4.0959725,0.9217871,-4.0914373,0.9451445,-4.312186,1.821827,-4.307651,1.8451847
1.4808422,4.6686497,1.45372,4.685382,3.7411711,1.7453285,3.7140484,1.7620603
1.4578247,3.1907928,1.4295852,3.2178752,2.4857337,1.3766233,2.4574945,1.403706
0.35348067,4.026377,0.31477526,4.03771,9.395304,2.625347,9.356599,2.6366801
3.5416582,3.1005797,3.5144312,3.1203654,2.2169003,1.0796251,2.1896741,1.0994105
-0.76425034,2.2922018,-0.7867968,2.3249462,2.475938,-0.6801787,2.4533913,-0.6474343
3.8604863,1.9133266,3.842738,1.9285827,0.4068033,0.6625085,0.389055,0.6777646
1.9366612,4.562658,1.906821,4.592294,1.112997,0.48434508,1.0831568,0.51398116
4.63429,1.5026913,4.6062803,1.5283056,0.52853644,-0.21222536,0.50052667,-0.18661124
1.58367,4.6677017,1.5560063,4.6886616,3.1712608,0.87717307,3.1435974,0.8981328
3.0648065,3.8501167,3.0301769,3.868295,2.985051,2.2193289,2.9504209,2.2375064
2.7222984,4.1138396,2.6871376,4.1331196,2.4766357,1.4933869,2.4414756,1.5126667
1.6068088,0.9182625,1.5855144,0.93029124,2.3035505,1.1449755,2.2822561,1.1570041
-4.821805,0.62708586,-4.8082757,0.65775484,-7.045224,-1.073085,-7.0316935,-1.0424157
2.1082628,4.451856,2.077783,4.4764614,-0.036457874,0.56323993,-0.06693763,0.587845
3.157039,0.73196757,3.1349561,0.74386007,1.544675,0.8030566,1.5225923,0.8149491
0.54423815,1.6005093,0.5130836,1.6341807,4.8949833,-0.57969946,4.863829,-0.5460281
1.7111057,4.6513405,1.6820856,4.6783295,1.8373023,0.9093229,1.8082821,0.9363118
-1.6784382,3.2356236,-1.699815,3.26479,1.9459195,-0.58772856,1.9245427,-0.5585623
4.339623,1.6000754,4.3105702,1.6260529,0.49582562,-0.51820356,0.46677274,-0.49222606
1.463358,4.552409,1.4321661,4.5579944,5.2667007,7.258506,5.235509,7.2640915
4.679704,0.87101525,4.653236,0.8989188,2.925242,-0.6458141,2.898774,-0.6179105
2.444268,-1.3594286,2.4253852,-1.3377944,-1.0857824,-0.0048014424,-1.1046653,0.01683274
-4.2692366,2.1095343,-4.2678075,2.1356223,-2.2622387,1.3419142,-2.2608094,1.3680024
3.7781544,2.9208112,3.7575321,2.9379704,0.8804893,0.9785639,0.85986733,0.9957231
0.6278293,3.0355194,0.6060336,3.046384,2.3203762,2.172568,2.2985804,2.1834326
1.1253936,4.7606335,1.0999787,4.785131,2.7477834,1.1134703,2.7223682,1.1379671
3.6280618,1.0635201,3.5997026,1.0917406,1.9691733,-0.15637597,1.940814,-0.12815537
1.13115,0.7797299,1.1164036,0.80304074,1.9495835,1.1211423,1.9348371,1.1444532
4.134488,0.86550206,4.1071863,0.8942507,2.6174908,0.028774869,2.5901892,0.05752345
0.11101531,0.48186228,0.11302101,0.50821483,-1.2252635,-1.5278286,-1.2232578,-1.501476
-0.44659328,3.5581095,-0.46935335,3.5721622,1.2910517,4.2970247,1.2682915,4.311077
3.962342,2.1702058,3.9329183,2.193376,3.575567,-0.116725415,3.5461433,-0.093555056
1.7752305,4.520166,1.7498714,4.5468874,0.48131746,0.7335389,0.45595852,0.7602601
2.0649025,4.5089164,2.0352745,4.5391045,0.71320575,0.26129848,0.6835774,0.29148695
0.12401935,3.7196348,0.09776919,3.7211423,1.0066072,7.9256763,0.98035693,7.9271846
-4.4041414,1.9762022,-4.3970814,2.0059624,-3.8213549,-0.99928236,-3.8142955,-0.9695219
0.64575315,2.1797128,0.63656783,2.2008553,-0.44509026,3.6508024,-0.45427543,3.6719449
-2.877157,2.815279,-2.8867307,2.8451922,-0.44483456,-1.3421963,-0.45440853,-1.3122833
1.1570524,3.008977,1.1380668,3.0203853,0.8587028,3.7194433,0.83971715,3.7308517
1.6995752,4.6558733,1.6709265,4.6824903,1.9818522,0.717886,1.9532032,0.74450266
-3.5760374,3.0379884,-3.5798752,3.067314,-0.6598015,-0.76609385,-0.6636393,-0.7367681
1.6837474,4.533863,1.6382499,4.543999,8.036043,3.6902092,7.9905453,3.7003453
4.6549115,1.6047437,4.627628,1.6299961,0.623688,-0.09855408,0.596404,-0.073301755
3.9849126,1.4932265,3.9537773,1.5185881,0.42401195,-0.2646842,0.3928767,-0.23932293
-0.61175305,4.428409,-0.63999003,4.4566236,3.5373797,0.7319052,3.5091422,0.76011986
-0.3991027,3.304438,-0.4270235,3.335664,3.6083107,0.7283476,3.58039,0.75957394
1.933726,4.5560102,1.9013662,4.583283,1.457782,-0.11560933,1.4254223,-0.08833671
2.6465325,4.108965,2.6020498,4.1238074,4.5187817,0.53000873,4.474299,0.544851
3.4080274,-1.0346469,3.3872397,-1.0180565,0.725689,-0.5809001,0.70490134,-0.5643095
-4.4863567,1.8050462,-4.4770827,1.8357269,-4.4016886,-1.4200672,-4.3924146,-1.3893864
3.2168138,3.601514,3.1920333,3.6178658,2.1070526,2.0584795,2.0822723,2.0748315
2.8716993,0.8519125,2.840614,0.88017154,2.4895759,0.19497836,2.4584904,0.22323729
-0.019800693,1.8915204,-0.019197404,1.9163536,-2.295921,3.0752208,-2.2953174,3.1000535
3.6767921,2.2937987,3.646994,2.3163474,4.0862875,0.32627016,4.0564895,0.34881884
1.6668465,4.6662145,1.6388451,4.6915607,1.7493911,0.5425307,1.7213899,0.5678769
3.2182143,-0.49198347,3.1852765,-0.4651324,5.04022,-0.59983844,5.0072823,-0.5729874
1.9274862,4.516606,1.8875692,4.531383,3.841949,3.6934114,3.802032,3.708188
3.1302364,0.51263744,3.0987847,0.54114956,2.6469808,-0.18717727,2.6155286,-0.1586653
3.2694492,3.694471,3.240402,3.7137125,1.6921824,1.091233,1.6631352,1.1104743
3.8669436,1.6200294,3.8416195,1.6482285,1.4926591,-0.059718817,1.4673347,-0.031519733
2.9449134,1.4849423,2.913943,1.5081642,4.9522576,0.036084183,4.921287,0.05930577
