Intrusions_Tabberabberan,MetamorphicFacies_Benambran,MetamorphicFacies_KanimblanTablelands,MetamorphicFacies_Tabberabberan,RockUnits_CSP,RockUnits_LAO
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Ultramafic igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Ultramafic igneous rock
Null,Upper Greenschist,Subgreenschist facies,Greenschist facies,Clastic sediment,Serpentinite
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Saprolite,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Saprolite,Sandstone
Dacite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Dacite
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Siltstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Null,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Ultramafic igneous rock
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Clastic sediment,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Saprolite,Sandstone
Null,Subgreenschist facies,Subgreenschist facies,Subgreenschist facies,Clastic sediment,Sandstone
Granite,Upper Greenschist,Subgreenschist facies,Greenschist facies,Clastic sediment,Granite
Null,Upper Greenschist,Subgreenschist facies,Greenschist facies,Clastic sediment,Serpentinite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Serpentinite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Ultramafic igneous rock
Granite,Subgreenschist facies,Subgreenschist facies,Greenschist facies,Null,Granite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Serpentinite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Pyroxenite
Null,Upper Greenschist,Subgreenschist facies,Greenschist facies,Clastic sediment,Serpentinite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Serpentinite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Saprolite,Ultramafic igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Ultramafic igneous rock
Null,Upper Greenschist,Subgreenschist facies,Greenschist facies,Clastic sediment,Serpentinite
Null,Upper Greenschist,Subgreenschist facies,Greenschist facies,Clastic sediment,Serpentinite
Null,Upper Greenschist,Subgreenschist facies,Greenschist facies,Clastic sediment,Serpentinite
Null,Upper Greenschist,Subgreenschist facies,Greenschist facies,Clastic sediment,Serpentinite
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Ferricrete,Ultramafic igneous rock
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Clastic sediment,Sandstone
Null,Greenschist facies,Subgreenschist facies,Greenschist facies,Null,Ultramafic igneous rock
