Numerical,Categorical
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_correlation,RockUnits_CSP_Clastic sediment
Magmap2019-grid-tmi_rtp_05vd-AWAGS_MAG_2019_correlation,RockUnits_LAO_Ultramafic igneous rock
Green_Vegetation_correlation,RockUnits_CSP_Null
Ferric_Oxide_Composition_mean,RockUnits_LAO_Sandstone
Gypsum_Index_correlation,RockUnits_LAO_Serpentinite
Ferric_Oxide_Content_dissimilarity,RockUnits_LAO_Granite
AlOH_Group_Content_correlation,RockUnits_CSP_Saprolite
Ferric_Oxide_Content_correlation,RockUnits_CSP_Silt
Radmap2019-grid-u_conc-AWAGS_RAD_2019_dissimilarity,RockUnits_LAO_Granodiorite
AlOH_Group_Content_mean,RockUnits_LAO_Siliciclastic sedimentary rock
Radmap2019-grid-thk_ratio-AWAGS_RAD_2019_std,RockUnits_LAO_Pyroclastic rock
Radmap2019-grid-thk_ratio-AWAGS_RAD_2019_mean,RockUnits_LAO_Shale
Silica_Index_mean,RockUnits_LAO_Basalt
Ferric_Oxide_Composition_correlation,RockUnits_LAO_Dacite
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_std,RockUnits_LAO_Igneous rock
Radmap2019-grid-dose_terr-AWAGS_RAD_2019_mean,RockUnits_CSP_Ferricrete
Ferric_Oxide_Composition_std,RockUnits_CSP_Sand
FeOH_Group_Content_mean,RockUnits_LAO_Andesite
RockUnitBndyFaults_CSP_Geological boundary,RockUnits_LAO_Conglomerate
Radmap2019-grid-dose_terr-AWAGS_RAD_2019_std,RockUnits_LAO_Limestone
Radmap2019-grid-uk_ratio-AWAGS_RAD_2019_dissimilarity,RockUnits_LAO_Mudstone
Silica_Index_dissimilarity,RockUnits_LAO_Phyllite
Magmap2019-grid-tmi_rtp_05vd-AWAGS_MAG_2019_mean,RockUnits_LAO_Pyroxenite
RockUnitBndyFaults_LAO_Faulted boundary,RockUnits_LAO_Rhyolite
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_mean,RockUnits_LAO_Sedimentary rock
Opaque_Index_correlation,RockUnits_LAO_Siltstone
Radmap2019-grid-dose_terr-AWAGS_RAD_2019_dissimilarity,RockUnits_LAO_Tuff and lapilli tuff
Ferric_Oxide_Content_std,
Silica_Index_correlation,
Radmap2019-grid-thk_ratio-AWAGS_RAD_2019_correlation,
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_dissimilarity,
Radmap2019-grid-thk_ratio-AWAGS_RAD_2019_dissimilarity,
Radmap2019-grid-u_conc-AWAGS_RAD_2019_correlation,
Radmap2019-grid-dose_terr-AWAGS_RAD_2019_correlation,
