Gravmap2019-grid-ausdrape_ellips_dx,Gravmap2019-grid-ausdrape_ellips_dy,Gravmap2019-grid-ausdrape_geoid_dx,Gravmap2019-grid-ausdrape_geoid_dy,Gravmap2019-grid-dem_ellips_dx,Gravmap2019-grid-dem_ellips_dy,Gravmap2019-grid-dem_geoid_dx,Gravmap2019-grid-dem_geoid_dy
3.5016975,3.360213,3.4784958,3.3784893,2.5035865,-1.7744989,2.480385,-1.7562226
3.5283961,3.3413005,3.5042932,3.3594468,3.2420683,-1.7841045,3.2179651,-1.7659581
3.551126,3.327269,3.5259778,3.3453214,2.370876,-1.8538036,2.345728,-1.8357508
3.5678747,3.3192763,3.5415478,3.3372624,2.0879278,-2.043776,2.0616012,-2.0257897
3.5784261,3.3181055,3.5507355,3.3360448,2.7352083,-2.4452572,2.7075176,-2.4273176
3.5820944,3.3242383,3.5528197,3.3421388,3.4307232,-2.7617483,3.4014475,-2.7438476
3.5775642,3.3384924,3.5465083,3.3563595,3.177821,-2.713079,3.1467648,-2.6952121
3.5614192,3.3632615,3.5283964,3.3810823,3.4723349,-2.6230729,3.4393117,-2.6052518
3.5308392,3.4000566,3.4956481,3.4178138,3.423186,-2.4429612,3.3879952,-2.4252038
3.4790106,3.4539845,3.4415374,3.4716175,3.4334493,-2.787304,3.3959758,-2.7696705
3.4054084,3.525978,3.3655102,3.5434237,3.0120456,-2.943264,2.9721472,-2.9258184
3.3051934,3.6190317,3.2629163,3.6361938,4.3336167,-3.1544902,4.2913404,-3.1373286
3.1629362,3.7373416,3.11853,3.754118,7.1199393,-3.4306195,7.0755334,-3.4138432
2.9985135,3.8646,2.952155,3.880975,8.676614,-3.5831664,8.630255,-3.5667918
2.815567,3.9904842,2.767594,4.0064626,11.529093,-3.5683508,11.48112,-3.5523725
2.6162577,4.106,2.5670974,4.121586,12.974001,-2.8174121,12.924841,-2.8018265
2.3951695,4.2173295,2.345262,4.232562,13.208783,-1.4267223,13.158875,-1.4114897
2.163616,4.3072186,2.1135402,4.3221035,13.200267,1.0032281,13.150193,1.0181136
1.9120764,4.375117,1.8623207,4.3896985,13.782808,0.4552514,13.733054,0.46983328
1.6328361,4.4228497,1.5837921,4.437194,14.93598,2.2062817,14.886934,2.2206259
1.3268719,4.447116,1.2789034,4.461292,15.50626,2.9846146,15.458293,2.9987907
0.99075246,4.4373436,0.9441756,4.451426,14.112476,2.3246632,14.065898,2.338746
0.6533227,4.395477,0.6084411,4.4095407,13.9463415,2.4207988,13.901459,2.4348621
0.4041753,4.2715983,0.36123398,4.285723,12.995397,2.9675806,12.952455,2.981705
0.20645228,4.09865,0.165645,4.1129165,10.838535,2.3003633,10.797728,2.3146296
0.016694395,3.9049842,-0.021799048,3.9194627,9.277272,1.5471386,9.238778,1.5616169
-0.1881636,3.7022684,-0.22418241,3.7170277,8.77218,1.4058617,8.736161,1.4206212
-0.43205866,3.506289,-0.46545765,3.5214014,8.102069,1.4118547,8.068669,1.426967
-0.71815485,3.321286,-0.7487816,3.3368251,6.863048,1.2209522,6.832421,1.2364906
-1.0334249,3.13135,-1.0610406,3.1473885,6.080757,0.6029784,6.053142,0.61901706
-1.3796422,2.928441,-1.4038973,2.945057,4.0077953,0.2576972,3.9835405,0.27431256
-1.7226821,2.7238312,-1.7435104,2.7410903,1.8476675,0.37751842,1.8268398,0.39477727
-2.0540488,2.5137136,-2.071481,2.5316834,-1.2481627,0.805016,-1.2655953,0.82298577
-2.3722227,2.301199,-2.3863358,2.319945,-2.9982233,1.225051,-3.0123363,1.2437968
-2.663032,2.085302,-2.6739562,2.1048877,-4.4229546,1.2554195,-4.43388,1.275005
-2.9295058,1.8714277,-2.9374063,1.8919102,-4.342904,0.8715338,-4.350804,0.89201635
-3.176227,1.6633896,-3.1813054,1.6848202,-3.6595519,0.8487721,-3.66463,0.87020284
-3.4053004,1.4634353,-3.4077754,1.4858565,-3.7647417,0.44184157,-3.767216,0.46426246
-3.621132,1.2748731,-3.621238,1.298318,-4.1773286,0.49488416,-4.1774344,0.5183287
-3.826698,1.0990463,-3.8246675,1.123538,-3.4129322,0.30439296,-3.4109013,0.32888445
-4.0234995,0.9374847,-4.019557,0.9630365,-3.4359167,0.41365385,-3.431973,0.43920556
-4.2110367,0.792256,-4.205386,0.81887114,-3.3046556,0.35035768,-3.299005,0.3769731
-4.3882174,0.6678536,-4.3810363,0.69552743,-4.6625543,0.2780814,-4.655373,0.3057554
-4.544102,0.56840366,-4.535532,0.5971232,-5.4660316,0.45037878,-5.4574614,0.47909823
-4.653766,0.50672066,-4.643909,0.5364672,-6.647511,0.49205703,-6.6376543,0.5218038
-4.7254844,0.47171995,-4.714398,0.50247014,-5.965812,1.0123146,-5.954725,1.0430645
-4.7764535,0.44765234,-4.7641473,0.47938073,-7.296319,0.48451874,-7.284013,0.51624703
-4.814588,0.4304164,-4.80103,0.46309754,-8.019342,0.2456725,-8.005785,0.27835366
-4.8439755,0.41741124,-4.829083,0.45102236,-8.185648,-0.6749077,-8.170756,-0.6412967
-4.8674006,0.40722853,-4.851053,0.44175106,-8.099831,-1.7681292,-8.083481,-1.7336067
-4.8865843,0.3988171,-4.868618,0.43424112,-8.79965,-1.6258454,-8.781683,-1.5904216
-4.9026628,0.3917672,-4.882882,0.4280925,-8.575283,-2.2040842,-8.555504,-2.1677594
-4.9162836,0.38527945,-4.8945627,0.42250788,-8.2158785,-2.4484212,-8.194159,-2.411193
-4.9276924,0.37043157,-4.904442,0.4083922,-9.963825,-2.833986,-9.940576,-2.7960255
-4.9374456,0.35721746,-4.912681,0.3958576,-10.857304,-3.0191708,-10.832539,-2.980531
-4.9453573,0.3476731,-4.919234,0.3868796,-11.900482,-3.7097485,-11.874357,-3.670542
