Feature,Importance,Variance
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_std,0.17426,1.423265655915807e-06
Gravmap2016-grid-grv_cscba_std,0.06707,0.06972466217676111
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_mean,0.06608,1.2827126521643523e-05
Opaque_Index_correlation,0.04879,2.1273365935813314e-06
AlOH_Group_Content_correlation,0.04403,5.1871847648806525e-05
Radmap2019-grid-uk_ratio-AWAGS_RAD_2019_dissimilarity,0.04275,7.083262722737087e-05
Ferric_Oxide_Content_std,0.03678,0.00013224776039955896
Gravmap2019-grid-grv_cscba_1vd_mean,0.03479,1.2584958211885831e-05
Gravmap2019-grid-grv_fa_std,0.0335,2.686050281458738e-05
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_dissimilarity,0.03143,0.0012628355663410356
Gravmap2019-grid-ausdrape_ellips_dx,0.02728,1.3665154219844359e-05
Radmap2019-grid-thk_ratio-AWAGS_RAD_2019_mean,0.02539,0.00027761913804286766
RockUnitBndyFaults_PMIP,0.02476,9.358473838814042e-05
Gravmap2016-grid-grv_ir_mean,0.01947,0.001176704681629883
Radmap2019-grid-u_conc-AWAGS_RAD_2019_correlation,0.01938,3.1972271420517245e-05
Gravmap2016-grid-grv_cscba_mean,0.01725,0.00022012200109701696
MetamorphicBoundaries_KanimblanTablelands,0.017,0.0003772717198981289
MetamorphicBoundaries_Benambran,0.01642,6.718234031083767e-06
Opaque_Index_mean,0.01597,5.185039909279469e-06
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_dissimilarity,0.01595,2.1106321288534854e-05
Ferric_Oxide_Composition_std,0.01249,5.379783751272776e-07
Ferrous_Iron_Content_in_MgOH_mean,0.01184,0.0003686950967130807
Magmap2019-grid-tmi_rtp_enhancement-PGrav-AWAGS_MAG_2019_mean,0.01001,6.213806682233413e-05
MetamorphicBoundaries_Tabberabberan,0.00977,1.0682873798562336e-05
Gravmap2019-grid-grv_fa_dissimilarity,0.00973,6.687891449185688e-06
Magmap2019-grid-tmi_rtp_as-AWAGS_MAG_2019_correlation,0.00945,2.2423059866758904e-06
Radmap2019-grid-thk_ratio-AWAGS_RAD_2019_std,0.00899,3.762327026823587e-06
RockUnitBndyFaults_LAO,0.00775,0.0002640631494416013
Gypsum_Index_correlation,0.00772,5.376415607062062e-05
Gravmap2016-grid-grv_cscba_dissimilarity,0.00693,8.776147310555971e-07
MetamorphicFacies_Benambran_Subgreenschist facies,0.00684,1.2920082855267352e-06
FeOH_Group_Content_mean,0.00664,1.7860126410710298e-07
Radmap2019-grid-u2th_ratio-AWAGS_RAD_2019_correlation,0.00587,0.00012910052428499952
Gravmap2019-grid-ausdrape_ellips_dy,0.00586,3.219339048634784e-07
RockUnitBndyFaults_PTB,0.00531,3.301166201960871e-05
AlOH_Group_Composition_mean,0.0053,0.0004450611234022138
Radmap2019-grid-uk_ratio-AWAGS_RAD_2019_correlation,0.00517,1.8831262522227264e-05
Radmap2019-grid-dose_terr-AWAGS_RAD_2019_mean,0.00481,5.779061792702078e-06
Magmap2019-grid-tmi_rtp_enhancement-PGravTHD-AWAGS_MAG_2019_correlation,0.00471,9.212851351154312e-07
AlOH_Group_Composition_correlation,0.00465,3.941862273254642e-06
Radmap2019-grid-uth_ratio-AWAGS_RAD_2019_mean,0.00436,2.714709161457359e-05
Gravmap2019-grid-grv_cscba_1vd-IncludesAirborne_std,0.00416,3.6179895370779134e-05
Gravmap2019-grid-dem_ellips_dx,0.00404,0.0004784322424383687
Magmap2019-grid-tmi_rtp_enhancement-Phase-AWAGS_MAG_2019_std,0.00362,4.164932473740288e-05
Silica_Index_correlation,0.00358,0.00011470456753171729
Magmap2019-grid-tmi_rtp_enhancement-PGravTHD-AWAGS_MAG_2019_dissimilarity,0.00341,8.055214035999763e-06
MetamorphicFacies_Tabberabberan_Greenschist facies,0.00327,0.0006063371962479555
Quartz_Index_correlation,0.00274,1.502458853793049e-06
Magmap2019-grid-tmi_1vd-AWAGS_MAG_2019_dissimilarity,0.00266,9.081764221565194e-05
Gravmap2019-grid-dem_ellips_dy,0.00255,1.2016853258372513e-06
IntrusionsBndys_Esk,0.00254,4.1101471066243965e-07
Radmap2019-grid-dose_terr-AWAGS_RAD_2019_std,0.00245,2.9206279610117318e-05
Ferric_Oxide_Composition_correlation,0.00244,0.00010372721394219507
Gravmap2019-grid-grv_cscba_1vd_dissimilarity,0.00223,0.0006582950252910333
RockUnitBndyFaults_CSP,0.00211,4.838428355621331e-07
Radmap2019-grid-uth_ratio-AWAGS_RAD_2019_correlation,0.00198,7.477835358157778e-06
Gravmap2019-grid-grv_cscba_1vd_correlation,0.00185,7.343844194823985e-07
IntrusionsBndys_Tabberabberan,0.00178,1.856453367295936e-05
Radmap2019-grid-dose_terr-AWAGS_RAD_2019_correlation,0.00174,0.000330491415664961
