Gravmap2019-grid-ausdrape_ellips_dx,Gravmap2019-grid-ausdrape_ellips_dy,Gravmap2019-grid-ausdrape_geoid_dx,Gravmap2019-grid-ausdrape_geoid_dy,Gravmap2019-grid-dem_ellips_dx,Gravmap2019-grid-dem_ellips_dy,Gravmap2019-grid-dem_geoid_dx,Gravmap2019-grid-dem_geoid_dy
3.531434,3.351693,3.5072412,3.3698401,3.3292947,-1.215554,3.3051023,-1.1974064
3.559319,3.3396523,3.532844,3.357648,2.378907,-1.7669278,2.352432,-1.7489318
3.562298,3.353039,3.5328608,3.370947,3.220676,-2.0933695,3.1912389,-2.075462
3.5307531,3.3982344,3.4976118,3.4160473,3.2546456,-1.855834,3.2215037,-1.8380213
3.4390004,3.4927022,3.4015749,3.510281,3.2610116,-2.1038551,3.2235863,-2.086276
3.2635717,3.6528907,3.2216854,3.6699398,4.2876697,-2.7612069,4.245784,-2.7441573
2.9591756,3.8923044,2.9134192,3.9084637,8.248417,-3.295271,8.2026615,-3.2791111
2.5797987,4.13221,2.5312638,4.1473756,10.830432,-2.2854881,10.781898,-2.2703228
2.14194,4.3319025,2.0923557,4.346082,12.168692,1.2529259,12.119108,1.2671043
1.6423835,4.4592705,1.5935789,4.4725866,14.1344595,1.9059001,14.085655,1.9192164
1.0512522,4.521508,1.004636,4.534215,14.014375,2.1777728,13.967757,2.1904802
0.6029008,4.354573,0.5596672,4.366985,12.565422,2.6380808,12.522189,2.6504922
0.25427985,4.011697,0.21531425,4.0241547,9.404652,3.219561,9.365686,3.2320187
-0.21077667,3.644211,-0.24475412,3.6570542,8.6308775,1.9038678,8.5969,1.9167104
-0.8346559,3.285114,-0.86279464,3.2986677,5.9564667,1.3343475,5.928328,1.3479013
-1.5131984,2.8791661,-1.5346725,2.8937638,1.3893343,1.4651365,1.3678602,1.4797342
-2.156449,2.456376,-2.1713657,2.472389,-3.1804016,2.893438,-3.195318,2.9094512
-2.7172804,2.0255527,-2.726124,2.0433311,-3.4365158,1.6995167,-3.4453602,1.7172952
-3.208754,1.6124759,-3.2122762,1.632309,-3.8041937,1.6561893,-3.8077157,1.6760222
