Intrusions_Tabberabberan,MetamorphicFacies_Benambran,MetamorphicFacies_Esk,MetamorphicFacies_HunterBowen,MetamorphicFacies_Tabberabberan
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Braidwood Granodiorite - hornblende–phyric phase,Subgreenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Bundaburrah Granodiorite,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Unassigned Devonian intrusions,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Upper Greenschist
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Upper Greenschist
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Wilkurra Granite,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Milandra Granite,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Leeton Igneous Complex,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Jinden Monzogranite,Subgreenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Mullungudgery Granite,Subgreenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Upper Greenschist
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Upper Greenschist
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Tarcoon Suite,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Derriwong Group,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Upper Greenschist
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Unassigned Devonian intrusions,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Leeton Igneous Complex,Greenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Corryong Granite,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Thologolong Granite,Greenschist facies,Null,Null,Greenschist facies
Unassigned Devonian intrusions - social Bend pluton,Greenschist facies,Null,Null,Subgreenschist facies
Etheridge Monzogranite,Amphibolite facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Young Granodiorite,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Unassigned Devonian intrusions - S-type granites,Greenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Ungarie Granite,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Amphibolite facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Amphibolite facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Amphibolite facies,Null
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Padua Granodiorite,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Bundong Granite,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Jinden Monzogranite,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Upper Greenschist
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Wilkurra Granite,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Forest Lodge Quartz Monzodiorite,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Bemboka Granodiorite,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Derriwong Group,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Unassigned Devonian intrusions - perricoota Pluton,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Young Granodiorite,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Half Moon Peak Monzogranite,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Upper Greenschist
Wantabadgery Granite,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Yennora Granite,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Jeremadra Granodiorite,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Murrumbucka Tonalite,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Young Granodiorite,Subgreenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Unassigned Devonian intrusions,Subgreenschist facies,Null,Null,Greenschist facies
Canonbar Igneous Complex,Subgreenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Upper Greenschist,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Upper Greenschist
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Upper Greenschist,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Unassigned Silurian intrusions,Greenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Hungerford Granite,Subgreenschist facies,Null,Null,Upper Greenschist
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Yurammie Granodiorite,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Kalkite Monzogranite,Subgreenschist facies,Null,Null,Subgreenschist facies
Young Granodiorite,Subgreenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Null,Greenschist facies,Null,Null,Subgreenschist facies
Unassigned Devonian intrusions - perricoota Pluton,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Hungerford Granite,Subgreenschist facies,Null,Null,Upper Greenschist
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Welumba Monzogranite,Greenschist facies,Null,Null,Greenschist facies
Null,Null,Subgreenschist facies,Subgreenschist facies,Null
Eurolie granite,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Finister Granodiorite,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Greenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Wilkurra Granite,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Subgreenschist facies,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Greenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Null,Subgreenschist facies,Greenschist facies,Null
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
Null,Subgreenschist facies,Null,Null,Subgreenschist facies
Null,Subgreenschist facies,Null,Null,Greenschist facies
