IntrusionsBndys_Delamerian,IntrusionsBndys_Esk,IntrusionsBndys_HunterBown,IntrusionsBndys_KanimblanTablelands,IntrusionsBndys_Tabberabberan,MetamorphicBoundaries_Benambran,MetamorphicBoundaries_Delamerian,MetamorphicBoundaries_Esk,MetamorphicBoundaries_HunterBowen,MetamorphicBoundaries_KanimblanTablelands,MetamorphicBoundaries_Olarian,MetamorphicBoundaries_Tabberabberan,MetamorphicContactIsograds_Delamerian,MetamorphicIsograds_Delamerian,MetamorphicIsograds_Esk,MetamorphicIsograds_HunterBowen,MetamorphicIsograds_KanimblanTablelands,MetamorphicIsograds_Olarian,MetamorphicIsograds_Tabberabberan,RockUnitBndyFaults_BlanchetownClay,RockUnitBndyFaults_BookpurnongFm,RockUnitBndyFaults_CalivilFormation,RockUnitBndyFaults_CIP,RockUnitBndyFaults_CSP,RockUnitBndyFaults_CUR,RockUnitBndyFaults_DLO,RockUnitBndyFaults_DuddoLimestone,RockUnitBndyFaults_EttrickFormation,RockUnitBndyFaults_GeeraClay,RockUnitBndyFaults_LAO,RockUnitBndyFaults_LoxtonSands,RockUnitBndyFaults_MurrayBasinQuaternaryCover,RockUnitBndyFaults_PMIP,RockUnitBndyFaults_PTB,RockUnitBndyFaults_RenmarkGroup,RockUnitBndyFaults_THO,RockUnitBndyFaults_WDB,RockUnitBndyFaults_WinnamboolFormation
6.72,4.27,4.18,0.05,0.02,0.48,2.95,3.23,1.18,0.48,8.53,0.02,7.73,8.97,4.71,4.05,0.15,9.03,0.01,6.4,6.27,3.08,0.16,0.0,5.68,5.2,7.05,7.08,6.01,0.0,5.48,3.06,0.47,0.69,3.4,6.49,2.92,6.49
4.75,1.57,2.47,0.48,0.04,0.36,2.57,2.21,1.7,1.48,5.9,0.71,5.34,6.46,1.45,2.87,0.46,6.19,0.03,5.56,6.15,3.31,0.88,0.0,5.9,2.79,6.64,6.63,5.5,0.04,5.07,3.24,0.84,1.05,3.3,0.79,1.12,6.39
4.05,2.57,3.06,0.51,0.08,0.07,2.03,2.98,1.98,1.24,5.65,0.42,4.92,6.2,2.5,3.4,0.69,6.16,0.21,4.9,4.88,2.01,0.66,0.02,4.89,2.03,5.53,5.61,4.32,0.05,3.91,1.91,0.56,0.67,1.99,2.56,1.74,5.12
10.62,0.12,1.06,1.86,5.37,3.2,3.03,0.12,0.12,0.12,11.76,3.2,11.23,12.33,0.06,1.29,1.86,11.99,5.44,11.45,11.81,8.89,0.05,0.01,11.76,8.58,12.41,12.49,11.21,3.2,10.8,8.81,3.27,2.3,8.88,5.73,6.78,12.04
3.58,5.54,6.92,2.27,0.02,0.02,0.02,6.27,4.91,0.02,5.22,0.02,4.2,5.42,5.48,6.71,0.6,5.65,0.09,2.42,2.32,0.02,0.98,0.0,1.64,3.1,3.09,3.1,2.06,0.02,1.43,0.0,1.47,0.33,0.18,5.01,0.92,2.53
0.63,4.51,8.59,6.1,0.0,0.11,0.19,8.24,7.73,0.47,1.05,0.12,2.71,2.32,4.47,8.91,6.23,1.59,0.02,2.76,3.75,2.68,4.27,0.0,1.05,0.11,3.57,3.52,3.06,1.8,3.18,2.4,0.09,2.29,2.45,0.0,0.7,3.59
4.91,1.66,2.39,0.33,0.08,0.44,2.72,2.09,1.6,1.35,6.03,0.59,5.48,6.59,1.55,2.76,0.31,6.31,0.07,5.71,6.31,3.48,0.89,0.01,6.03,2.95,6.8,6.79,5.66,0.05,5.23,3.41,0.92,1.07,3.47,0.76,1.18,6.55
1.64,2.52,6.55,4.17,0.28,0.43,0.98,6.16,5.66,0.43,2.7,0.05,2.84,3.38,2.48,6.84,4.15,2.77,0.27,3.13,4.53,2.59,2.25,0.03,2.68,1.27,4.37,4.52,3.8,0.99,3.65,2.54,0.67,2.41,2.65,0.01,1.25,4.24
1.25,3.97,6.67,2.14,0.02,1.16,1.11,6.6,5.61,1.44,2.96,1.44,2.14,3.31,3.92,6.97,2.82,3.44,0.03,1.44,1.31,0.8,1.32,0.02,1.77,1.18,1.9,1.99,0.69,0.02,0.28,0.02,0.13,0.76,0.86,3.1,0.13,1.55
0.07,5.88,9.24,4.87,0.08,0.13,0.07,9.17,8.24,0.13,1.55,0.13,0.06,1.57,5.82,9.66,4.94,1.92,0.59,0.13,0.13,0.13,3.74,0.0,1.55,0.07,0.13,0.13,0.01,0.44,0.13,0.0,0.72,0.13,0.13,3.7,0.08,0.13
0.02,4.13,7.8,3.98,0.39,0.82,0.02,7.67,6.92,1.73,0.75,1.18,0.01,1.22,4.08,8.32,5.01,1.23,0.39,0.12,1.33,0.29,3.54,0.0,0.75,0.0,1.24,1.35,0.65,0.67,0.47,0.0,0.65,0.15,0.28,1.87,0.05,1.14
1.46,2.11,6.17,3.74,0.29,0.93,0.15,5.9,5.41,1.47,2.39,0.4,2.1,2.96,2.06,6.58,3.93,2.53,0.28,2.43,3.75,1.75,1.93,0.01,2.39,0.26,3.65,3.77,3.07,0.05,2.77,1.7,0.03,1.76,1.82,0.05,0.19,3.55
